session_id,user_id,session_ts,spot_id,campaign_id,campaign_name,brand,channel_id,odec_channel_code,channel_name,channel_type,spot_ts,minutes_after_spot,grp_value,attribution_flag
SESS003,U003,2026-04-20 20:31:00,S001,CAMP001,Festival Mega Sale,BrandA,TV01,ODEC_TV_001,Star Plus,TV,2026-04-20 20:30:00,1,4.5,1
SESS004,U004,2026-04-20 20:34:10,S001,CAMP001,Festival Mega Sale,BrandA,TV01,ODEC_TV_001,Star Plus,TV,2026-04-20 20:30:00,4,4.5,1
SESS005,U005,2026-04-20 20:37:00,S001,CAMP001,Festival Mega Sale,BrandA,TV01,ODEC_TV_001,Star Plus,TV,2026-04-20 20:30:00,7,4.5,1
SESS006,U006,2026-04-20 20:43:00,S001,CAMP001,Festival Mega Sale,BrandA,TV01,ODEC_TV_001,Star Plus,TV,2026-04-20 20:30:00,13,4.5,1
SESS008,U008,2026-04-20 21:05:30,S002,CAMP001,Festival Mega Sale,BrandA,TV01,ODEC_TV_001,Star Plus,TV,2026-04-20 21:00:00,5,5.2,1
SESS009,U009,2026-04-20 21:10:00,S002,CAMP001,Festival Mega Sale,BrandA,TV01,ODEC_TV_001,Star Plus,TV,2026-04-20 21:00:00,10,5.2,1
SESS012,U012,2026-04-21 19:51:00,S003,CAMP002,Prime Time Awareness,BrandB,TV02,ODEC_TV_002,Zee TV,TV,2026-04-21 19:45:00,6,3.8,1
SESS015,U015,2026-04-21 22:11:00,S004,CAMP003,Digital Booster,BrandC,DIGI01,ODEC_DIGI_001,YouTube,Digital,2026-04-21 22:10:00,1,2.5,1
SESS016,U016,2026-04-21 22:14:00,S004,CAMP003,Digital Booster,BrandC,DIGI01,ODEC_DIGI_001,YouTube,Digital,2026-04-21 22:10:00,4,2.5,1
SESS017,U017,2026-04-21 22:18:00,S004,CAMP003,Digital Booster,BrandC,DIGI01,ODEC_DIGI_001,YouTube,Digital,2026-04-21 22:10:00,8,2.5,1
SESS018,U018,2026-04-21 22:21:00,S004,CAMP003,Digital Booster,BrandC,DIGI01,ODEC_DIGI_001,YouTube,Digital,2026-04-21 22:10:00,11,2.5,1
SESS019,U019,2026-04-21 22:24:00,S004,CAMP003,Digital Booster,BrandC,DIGI01,ODEC_DIGI_001,YouTube,Digital,2026-04-21 22:10:00,14,2.5,1
