campaign_id,campaign_name,brand,channel_id,odec_channel_code,channel_name,channel_type,spot_id,spot_ts,session_id,session_ts,minutes_after_spot,grp_value,attribution_flag
CAMP001,Festival Mega Sale,BrandA,TV01,ODEC_TV_001,Star Plus,TV,S001,2026-04-20 20:30:00,SESS003,2026-04-20 20:31:00,1,4.5,1
CAMP001,Festival Mega Sale,BrandA,TV01,ODEC_TV_001,Star Plus,TV,S001,2026-04-20 20:30:00,SESS004,2026-04-20 20:34:10,4,4.5,1
CAMP001,Festival Mega Sale,BrandA,TV01,ODEC_TV_001,Star Plus,TV,S001,2026-04-20 20:30:00,SESS005,2026-04-20 20:37:00,7,4.5,1
CAMP001,Festival Mega Sale,BrandA,TV01,ODEC_TV_001,Star Plus,TV,S001,2026-04-20 20:30:00,SESS006,2026-04-20 20:43:00,13,4.5,1
CAMP001,Festival Mega Sale,BrandA,TV01,ODEC_TV_001,Star Plus,TV,S002,2026-04-20 21:00:00,SESS008,2026-04-20 21:05:30,5,5.2,1
CAMP001,Festival Mega Sale,BrandA,TV01,ODEC_TV_001,Star Plus,TV,S002,2026-04-20 21:00:00,SESS009,2026-04-20 21:10:00,10,5.2,1
CAMP002,Prime Time Awareness,BrandB,TV02,ODEC_TV_002,Zee TV,TV,S003,2026-04-21 19:45:00,SESS012,2026-04-21 19:51:00,6,3.8,1
CAMP003,Digital Booster,BrandC,DIGI01,ODEC_DIGI_001,YouTube,Digital,S004,2026-04-21 22:10:00,SESS015,2026-04-21 22:11:00,1,2.5,1
CAMP003,Digital Booster,BrandC,DIGI01,ODEC_DIGI_001,YouTube,Digital,S004,2026-04-21 22:10:00,SESS016,2026-04-21 22:14:00,4,2.5,1
CAMP003,Digital Booster,BrandC,DIGI01,ODEC_DIGI_001,YouTube,Digital,S004,2026-04-21 22:10:00,SESS017,2026-04-21 22:18:00,8,2.5,1
CAMP003,Digital Booster,BrandC,DIGI01,ODEC_DIGI_001,YouTube,Digital,S004,2026-04-21 22:10:00,SESS018,2026-04-21 22:21:00,11,2.5,1
CAMP003,Digital Booster,BrandC,DIGI01,ODEC_DIGI_001,YouTube,Digital,S004,2026-04-21 22:10:00,SESS019,2026-04-21 22:24:00,14,2.5,1
