session_id,user_id,session_timestamp,device_type,session_source
SESS001,U001,2026-04-20 20:18:00,mobile,direct
SESS002,U002,2026-04-20 20:22:00,desktop,organic
SESS003,U003,2026-04-20 20:31:00,mobile,direct
SESS004,U004,2026-04-20 20:34:10,mobile,paid
SESS005,U005,2026-04-20 20:37:00,desktop,organic
SESS006,U006,2026-04-20 20:43:00,mobile,direct
SESS007,U007,2026-04-20 20:50:00,mobile,direct
SESS008,U008,2026-04-20 21:05:30,mobile,paid
SESS009,U009,2026-04-20 21:10:00,desktop,organic
SESS010,U010,2026-04-21 19:35:00,mobile,direct
SESS011,U011,2026-04-21 19:40:00,desktop,organic
SESS012,U012,2026-04-21 19:51:00,mobile,direct
SESS013,U013,2026-04-21 22:00:00,mobile,direct
SESS014,U014,2026-04-21 22:05:00,desktop,organic
SESS015,U015,2026-04-21 22:11:00,mobile,paid
SESS016,U016,2026-04-21 22:14:00,mobile,direct
SESS017,U017,2026-04-21 22:18:00,mobile,paid
SESS018,U018,2026-04-21 22:21:00,desktop,organic
SESS019,U019,2026-04-21 22:24:00,mobile,direct
